"name","year","genre","length","user_rating","director","synopsis"
"The Skin I Live In","(2011)"," Drama, Horror, Mystery            ","120 min","7.6","Pedro Almodóvar"," A brilliant plastic surgeon, haunted by past tragedies, creates a type of synthetic skin that withstands any kind of damage. His guinea pig: a mysterious and volatile woman who holds the key to his obsession."
"The Invisible Man","(1933)"," Horror, Sci-Fi            ","71 min","7.6","James Whale"," A scientist finds a way of becoming invisible, but in doing so, he becomes murderously insane."
"Peeping Tom","(1960)"," Drama, Horror, Thriller            ","101 min","7.6","Michael Powell"," A young man murders women, using a movie camera to film their dying expressions of terror."
"Vampire Hunter D: Bloodlust","(2000)"," Animation, Action, Drama            ","103 min","7.6","Yoshiaki Kawajiri"," A legendary dhampir competes with a motley family of bounty hunters to return a young woman, who has been seemingly abducted by a vampire, to her family."
"Repulsion","(1965)"," Drama, Horror, Thriller            ","105 min","7.6","Roman Polanski"," A sex-repulsed woman who disapproves of her sister's boyfriend sinks into depression and has horrific visions of rape and violence."
"Eyes Without a Face","(1960)"," Drama, Horror            ","90 min","7.6","Georges Franju"," A surgeon causes an accident which leaves his daughter disfigured and goes to extreme lengths to give her a new face."
"The Conjuring","(2013)"," Horror, Mystery, Thriller            ","112 min","7.5","James Wan"," Paranormal investigators Ed and Lorraine Warren work to help a family terrorized by a dark presence in their farmhouse."
"Interview with the Vampire: The Vampire Chronicles","(1994)"," Drama, Fantasy, Horror            ","123 min","7.5","Neil Jordan"," A vampire tells his epic life story: love, betrayal, loneliness, and hunger."
"An American Werewolf in London","(1981)"," Comedy, Horror            ","97 min","7.5","John Landis"," Two American college students on a walking tour of Britain are attacked by a werewolf that none of the locals will admit exists."
"A Quiet Place","(2018)"," Drama, Horror, Sci-Fi            ","90 min","7.5","John Krasinski"," A family struggles for survival in a world where most humans have been killed by blind but noise-sensitive creatures. They are forced to communicate in sign language to keep the creatures at bay."
"The Omen","(1976)"," Horror, Mystery            ","111 min","7.5","Richard Donner"," Mysterious deaths surround an American ambassador. Could the child that he is raising actually be the Antichrist? The Devil's own son?"
"28 Days Later","(2002)"," Drama, Horror, Sci-Fi            ","113 min","7.5","Danny Boyle"," Four weeks after a mysterious, incurable virus spreads throughout the UK, a handful of survivors try to find sanctuary."
"The Crow","(1994)"," Action, Crime, Drama            ","102 min","7.5","Alex Proyas"," A man brutally murdered comes back to life as an undead avenger of his and his fiancée's murder."
"The Wicker Man","(1973)"," Horror, Mystery, Thriller            ","88 min","7.5","Robin Hardy"," A puritan Police Sergeant arrives in a Scottish island village in search of a missing girl, who the Pagan locals claim never existed."
"Tucker and Dale vs Evil","(2010)"," Comedy, Horror            ","89 min","7.5","Eli Craig"," Affable hillbillies Tucker and Dale are on vacation at their dilapidated mountain cabin when they are mistaken for murderers by a group of preppy college students."
"Braindead","(1992)"," Comedy, Fantasy, Horror            ","104 min","7.5","Peter Jackson"," A young man's mother is bitten by a Sumatran rat-monkey. She gets sick and dies, at which time she comes back to life, killing and eating dogs, nurses, friends, and neighbors."
"Grindhouse","(2007)"," Action, Horror, Thriller            ","191 min","7.5","Robert Rodriguez"," Quentin Tarantino and Robert Rodriguez's homage to exploitation double features in the '60s and '70s with two back-to-back cult films that include previews of coming attractions between them."
