Rk,Player,Pos,Age,Tm,G,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
140,Anthony Edwards,SG,21,MIN,79,17.4,0.564,0.375,0.274,1.9,15.9,9,19.3,2.1,1.8,13,29.9,0.2,3.6,3.8,0.064,1,0,1,2.1,79,36,8.9,19.5,0.459,2.7,7.3,0.369,6.3,12.2,0.513,0.528,4,5.3,0.756,0.6,5.2,5.8,4.4,1.6,0.7,3.3,2.4,24.6
322,Jaden McDaniels,SF,22,MIN,79,12,0.611,0.376,0.201,4.3,9.8,7.1,8.4,1.5,2.7,12.6,15.8,2,2.4,4.4,0.087,-1.7,0.5,-1.2,0.5,79,30.6,4.7,9.1,0.517,1.4,3.4,0.398,3.3,5.7,0.588,0.591,1.3,1.8,0.736,1.2,2.7,3.9,1.9,0.9,1,1.4,3.4,12.1
339,Evan Mobley,PF,21,CLE,79,17.9,0.591,0.108,0.321,8.1,22.7,15.4,12.4,1.1,4,11.9,20.2,3.7,4.8,8.5,0.151,0,1.6,1.7,2.5,79,34.4,6.6,12,0.554,0.3,1.3,0.216,6.4,10.7,0.595,0.566,2.6,3.8,0.674,2.4,6.6,9,2.8,0.8,1.5,1.8,2.8,16.2
350,Trey Murphy III,SF,22,NOP,79,15.2,0.65,0.621,0.238,2.7,10.3,6.5,6.4,1.8,1.7,6.5,16.6,4.8,2.8,7.6,0.15,1.4,0.4,1.8,2.3,65,31,4.9,10.1,0.484,2.6,6.3,0.406,2.3,3.8,0.611,0.61,2.2,2.4,0.905,0.7,2.8,3.6,1.4,1.1,0.5,0.8,2,14.5
385,Mason Plumlee,C,32,TOT,79,19.6,0.689,0,0.647,11.8,25.1,18.4,17.3,1.1,2,15.8,15.2,5.5,2.4,7.9,0.185,1.2,1,2.2,2.2,60,26,4.2,6.1,0.68,0,0,,4.2,6.1,0.68,0.68,2.5,4,0.636,2.9,6,8.9,3.1,0.6,0.6,1.5,2.7,10.8
428,Domantas Sabonis,C,26,SAC,79,23.5,0.668,0.088,0.467,10.6,30,20.3,30.4,1.1,1.2,16.9,21.3,9.6,3,12.6,0.221,4.1,1.8,5.8,5.4,79,34.6,7.3,11.9,0.615,0.4,1.1,0.373,6.9,10.8,0.639,0.632,4.1,5.5,0.742,3.2,9.1,12.3,7.3,0.8,0.5,2.9,3.5,19.1
453,Jabari Smith Jr.,PF,19,HOU,79,11.2,0.514,0.438,0.231,5.4,20.3,12.7,5.9,0.9,3,9.6,18.4,0.5,1.4,1.9,0.037,-2.3,-1.3,-3.7,-1.1,79,31,4.6,11.3,0.408,1.5,4.9,0.307,3.1,6.3,0.487,0.475,2.1,2.6,0.786,1.5,5.7,7.2,1.3,0.5,0.9,1.3,2.9,12.8
483,Jonas Valančiūnas,C,30,NOP,79,19.3,0.61,0.134,0.275,13,33.3,23.1,11.1,0.5,2.5,14.8,23.4,2.8,3,5.8,0.142,0,-0.4,-0.4,0.8,79,24.9,5.6,10.3,0.547,0.5,1.4,0.349,5.2,8.9,0.577,0.57,2.3,2.8,0.826,2.8,7.3,10.2,1.8,0.3,0.7,2,3.1,14.1
517,Grant Williams,PF,24,BOS,79,10.3,0.605,0.611,0.256,4.7,14.5,9.7,8.4,1,1.3,13.4,13.1,1.9,2.6,4.4,0.104,-1.8,0.7,-1.1,0.5,23,25.9,2.7,6,0.454,1.5,3.7,0.395,1.3,2.3,0.546,0.575,1.2,1.5,0.77,1.1,3.5,4.6,1.7,0.5,0.4,1,2.4,8.1
62,Bruce Brown,SF,26,DEN,80,13.3,0.571,0.343,0.206,3.3,13,8.3,15.7,1.9,2,13.2,17.8,1.7,2.6,4.3,0.09,-1.1,0.6,-0.5,0.9,31,28.5,4.5,9.3,0.483,1.1,3.2,0.358,3.3,6.1,0.548,0.545,1.5,1.9,0.758,0.8,3.3,4.1,3.4,1.1,0.6,1.5,2.4,11.5
128,Ayo Dosunmu,SG,23,CHI,80,10.2,0.567,0.332,0.144,2.5,9.3,5.9,13.2,1.4,1.2,14,14.9,0.7,2.2,2.9,0.067,-3,0.6,-2.5,-0.2,51,26.2,3.5,7.1,0.493,0.7,2.4,0.312,2.8,4.8,0.583,0.545,0.8,1,0.805,0.6,2.2,2.8,2.6,0.8,0.3,1.2,2.3,8.6
202,Sam Hauser,SF,25,BOS,80,12.7,0.634,0.846,0.043,3,14.1,8.6,7.6,1.1,1.4,6.9,14.7,1.8,1.6,3.4,0.128,0.6,0.4,1,1,8,16.1,2.3,5,0.455,1.8,4.2,0.418,0.5,0.8,0.656,0.631,0.2,0.2,0.706,0.4,2.1,2.6,0.9,0.4,0.3,0.4,1.2,6.4
209,Buddy Hield,SF,30,IND,80,15.4,0.614,0.652,0.124,3,14.9,8.9,13.3,1.8,0.9,11.3,20.8,2.7,1.6,4.4,0.085,2.5,-0.6,1.9,2.4,73,31,5.9,13,0.458,3.6,8.5,0.425,2.3,4.5,0.518,0.596,1.3,1.6,0.822,0.8,4.2,5,2.8,1.2,0.3,1.7,2,16.8
256,Tyus Jones,PG,26,MEM,80,16,0.546,0.459,0.141,1.5,9.4,5.5,28.8,2,0.3,8.9,17.7,3.4,2.3,5.7,0.141,1.2,0.3,1.6,1.7,22,24.3,3.9,8.9,0.438,1.5,4.1,0.371,2.4,4.8,0.495,0.523,1,1.3,0.8,0.4,2.2,2.5,5.2,1,0.1,0.9,0.4,10.3
323,Jalen McDaniels,SF,25,TOT,80,11.8,0.557,0.376,0.224,3.6,16.3,9.9,9.6,2.1,1.6,12.1,17.2,0.5,2.2,2.7,0.068,-2.7,0.6,-2.1,-0.1,24,23.9,3.5,7.7,0.455,1,2.9,0.332,2.6,4.8,0.53,0.518,1.5,1.7,0.841,0.8,3.5,4.3,1.6,1,0.4,1.2,2.6,9.4
337,Davion Mitchell,PG,24,SAC,80,9.4,0.545,0.494,0.078,1.3,7,4.1,16.5,1.5,0.9,13.1,14.1,0.7,0.8,1.5,0.05,-2.4,-0.4,-2.8,-0.3,9,18.1,2.3,5,0.454,0.8,2.5,0.32,1.5,2.5,0.584,0.533,0.3,0.4,0.806,0.2,1.1,1.3,2.3,0.6,0.2,0.8,1.4,5.6
353,Keegan Murray,SF,22,SAC,80,12.3,0.597,0.641,0.104,4.3,13.4,8.9,5.5,1.2,1.5,6.8,15.8,2.6,1.7,4.3,0.087,0.4,-1,-0.6,0.8,78,29.8,4.4,9.8,0.453,2.6,6.3,0.411,1.9,3.5,0.527,0.584,0.8,1,0.765,1.1,3.5,4.6,1.2,0.8,0.5,0.8,2,12.2
372,Onyeka Okongwu,C,22,ATL,80,19.4,0.678,0.026,0.394,12.7,21.5,17,5.8,1.4,4.9,12.2,15.1,4.7,2.4,7.1,0.185,0,0.8,0.8,1.3,18,23.1,4,6.2,0.638,0.1,0.2,0.308,3.9,6.1,0.647,0.642,1.9,2.5,0.781,2.7,4.5,7.2,1,0.7,1.3,1,3.1,9.9
441,Shaedon Sharpe,SG,19,POR,80,11.5,0.568,0.437,0.162,4,11.3,7.6,7.9,1,1.2,10.7,19,0.6,0.6,1.2,0.032,-1.3,-2,-3.3,-0.6,15,22.2,3.8,8.1,0.472,1.3,3.5,0.36,2.6,4.6,0.559,0.551,0.9,1.3,0.714,0.8,2.2,3,1.2,0.5,0.3,1,1.7,9.9
460,Max Strus,SF,26,MIA,80,10.8,0.557,0.713,0.113,2.4,11.2,6.7,11.2,0.9,0.5,7.8,17.6,1.5,1.9,3.4,0.071,-0.8,-0.9,-1.7,0.2,33,28.4,4.1,9.9,0.41,2.5,7,0.35,1.6,2.8,0.559,0.535,1,1.1,0.876,0.6,2.6,3.2,2.1,0.5,0.2,0.9,2.1,11.5
491,Franz Wagner,SF,21,ORL,80,15.9,0.589,0.322,0.288,3,11.2,7.1,17.2,1.4,0.6,11.7,23.5,3.1,2.3,5.4,0.099,0.4,-0.5,-0.1,1.3,80,32.6,6.8,14,0.485,1.6,4.5,0.361,5.2,9.5,0.544,0.543,3.4,4,0.842,0.9,3.2,4.1,3.5,1,0.2,2.1,2.3,18.6
36,Malik Beasley,SG,26,TOT,81,10.9,0.531,0.702,0.069,1.8,12.5,7.3,8.4,1.5,0.4,8.5,21.1,-0.2,1.6,1.4,0.032,-0.9,-1,-2,0,27,25.8,4.6,11.6,0.395,2.9,8.1,0.357,1.7,3.4,0.484,0.52,0.6,0.8,0.769,0.4,3.1,3.5,1.5,0.8,0.1,1.1,1.3,12.7
83,Jevon Carter,PG,27,MIL,81,10.9,0.56,0.596,0.067,2.1,9.3,5.8,14.5,1.7,1.3,11.8,15.3,1.2,2.3,3.5,0.092,-1.9,1.2,-0.6,0.6,39,22.3,3,7,0.423,1.8,4.2,0.421,1.2,2.8,0.425,0.549,0.4,0.5,0.816,0.4,2.1,2.5,2.4,0.8,0.4,1,2,8
304,Terance Mann,SG,26,LAC,81,13.4,0.619,0.378,0.225,4.7,11.8,8.3,14,1.1,1,12.2,15.3,2.8,1.5,4.3,0.111,-0.3,0.1,-0.2,0.8,36,23.1,3.4,6.5,0.519,1,2.4,0.389,2.4,4,0.598,0.593,1.1,1.5,0.78,1,2.5,3.4,2.3,0.5,0.3,1,1.8,8.8
403,Immanuel Quickley,SG,23,NYK,81,16.3,0.578,0.485,0.265,2.7,13.1,7.9,17.4,1.7,0.6,8.7,20.9,4.4,2.3,6.7,0.137,1.3,0.4,1.7,2.1,21,28.9,5.2,11.6,0.448,2.1,5.6,0.37,3.1,6,0.521,0.537,2.5,3.1,0.819,0.7,3.4,4.2,3.4,1,0.2,1.2,2,14.9
27,Harrison Barnes,PF,30,SAC,82,14.1,0.632,0.446,0.522,3.8,11.9,7.9,6.3,1,0.3,8.1,17.1,5.1,1.4,6.5,0.118,0.5,-1.5,-1,0.7,82,32.5,4.6,9.6,0.473,1.6,4.3,0.374,3,5.3,0.553,0.556,4.3,5,0.847,1.1,3.4,4.5,1.6,0.7,0.1,1,1.3,15
139,Tari Eason,PF,21,HOU,82,15.2,0.525,0.261,0.22,12,18.9,15.4,7.4,2.6,2.6,12.2,19.3,0.9,1.7,2.6,0.07,-1.3,-0.4,-1.7,0.1,5,21.5,3.6,8,0.448,0.7,2.1,0.343,2.9,6,0.486,0.493,1.3,1.8,0.752,2.4,3.7,6,1.1,1.2,0.6,1.2,2.3,9.3
200,Isaiah Hartenstein,C,24,NYK,82,14.2,0.567,0.113,0.217,14.1,22.2,18.1,8.3,1.6,3.7,15.6,11.2,2.2,2.4,4.6,0.136,-1.5,1.2,-0.3,0.7,8,19.8,2.1,4,0.535,0.1,0.5,0.216,2,3.5,0.576,0.547,0.6,0.9,0.676,2.5,4,6.5,1.2,0.6,0.8,0.8,2.6,5
296,Kevon Looney,C,26,GSW,82,17.8,0.639,0.003,0.404,15.7,26.8,21.4,13.8,1.3,2.2,9.1,10.6,5.9,2.8,8.7,0.212,0.9,1.3,2.1,2,70,23.9,3,4.7,0.63,0,0,0,3,4.7,0.632,0.63,1.1,1.9,0.606,3.3,5.9,9.3,2.5,0.6,0.6,0.5,2.7,7
311,Kenyon Martin Jr.,SF,22,HOU,82,15.4,0.635,0.3,0.308,6,15.8,10.8,8.1,0.9,1.3,10,16.4,4.2,0.7,4.9,0.103,0.6,-1.3,-0.7,0.7,49,28,5,8.8,0.569,0.8,2.6,0.315,4.2,6.1,0.679,0.617,1.8,2.7,0.68,1.5,4,5.5,1.5,0.5,0.4,1.1,1.8,12.7
388,Jordan Poole,PG,23,GSW,82,14.6,0.573,0.498,0.325,1.5,8.5,5,22.5,1.2,0.8,14.7,29.2,1.4,1.9,3.2,0.063,-0.1,-1.8,-1.9,0.1,43,30,6.7,15.6,0.43,2.6,7.8,0.336,4.1,7.8,0.524,0.514,4.4,5.1,0.87,0.4,2.4,2.7,4.5,0.8,0.3,3.1,2.6,20.4
489,Nikola Vučević,C,32,CHI,82,19.1,0.594,0.302,0.138,6.7,30.2,18.6,14.6,1.1,2,10.2,21.9,3.9,4.4,8.3,0.145,1.9,0.7,2.7,3.2,82,33.5,7.3,14,0.52,1.5,4.2,0.349,5.8,9.8,0.594,0.573,1.6,1.9,0.835,1.9,9.1,11,3.2,0.7,0.7,1.7,2.2,17.6
509,Derrick White,SG,28,BOS,82,15.4,0.604,0.516,0.253,2.5,11.2,6.9,19.4,1.1,2.8,10.1,17.7,4.4,3.1,7.4,0.154,1.1,1.3,2.4,2.6,70,28.3,4.3,9.2,0.462,1.8,4.8,0.381,2.5,4.5,0.548,0.56,2,2.3,0.875,0.6,2.9,3.6,3.9,0.7,0.9,1.2,2.2,12.4
523,Patrick Williams,PF,21,CHI,82,11.2,0.576,0.409,0.155,3.9,12,8,5.8,1.5,2.9,12.3,15.7,0.5,3,3.5,0.072,-1.7,0.4,-1.3,0.4,65,28.3,3.8,8.3,0.464,1.4,3.4,0.415,2.4,4.9,0.498,0.549,1.1,1.3,0.857,1,3,4,1.2,0.9,0.9,1.2,1.8,10.2
58,Mikal Bridges,SF-SG,26,TOT,83,16.8,0.587,0.349,0.279,2.9,10.8,6.8,13.7,1.5,1.8,8.2,22.6,4.4,3.1,7.5,0.121,1.5,0.2,1.7,2.8,83,35.7,7.1,15.3,0.468,2,5.3,0.382,5.1,9.9,0.514,0.535,3.8,4.3,0.895,1,3.4,4.4,3.3,1.1,0.7,1.5,1.9,20.1
